Timestamp,Datetime,Hop_Number,Source_IP,Source_Hostname,Dest_IP,Dest_Hostname,Estado_Origem_Viagem,Estado_Destino_Viagem,Estado_Deduzido
1752244491,2025-07-11 11:34:51,2,192.168.75.1,No-Hostname,170.79.214.20,cpb1-bpb1.bkb.rnp.br,PB,PE,PB
1752244491,2025-07-11 11:34:51,3,170.79.214.20,cpb1-bpb1.bkb.rnp.br,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,PB,PE,
1752244491,2025-07-11 11:34:51,4,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,170.79.214.89,bpe1-cpe1.bkb.rnp.br,PB,PE,
1752244491,2025-07-11 11:34:51,5,170.79.214.89,bpe1-cpe1.bkb.rnp.br,200.133.31.237,No-Hostname,PB,PE,PE
1752244491,2025-07-11 11:34:51,6,200.133.31.237,No-Hostname,200.133.0.53,monipe-pe-atraso.rnp.br,PB,PE,PE
1752245105,2025-07-11 11:45:05,1,200.129.75.254,gateway,192.168.75.1,No-Hostname,PB,PE,PB
1752245105,2025-07-11 11:45:05,2,192.168.75.1,No-Hostname,170.79.214.20,cpb1-bpb1.bkb.rnp.br,PB,PE,PB
1752245105,2025-07-11 11:45:05,3,170.79.214.20,cpb1-bpb1.bkb.rnp.br,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,PB,PE,
1752245105,2025-07-11 11:45:05,4,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,170.79.214.89,bpe1-cpe1.bkb.rnp.br,PB,PE,
1752245105,2025-07-11 11:45:05,5,170.79.214.89,bpe1-cpe1.bkb.rnp.br,200.133.31.237,No-Hostname,PB,PE,PE
1752245105,2025-07-11 11:45:05,6,200.133.31.237,No-Hostname,200.133.0.53,monipe-pe-atraso.rnp.br,PB,PE,PE
1752245834,2025-07-11 11:57:14,1,200.129.75.254,gateway,192.168.75.1,No-Hostname,PB,PE,PB
1752245834,2025-07-11 11:57:14,2,192.168.75.1,No-Hostname,170.79.214.20,cpb1-bpb1.bkb.rnp.br,PB,PE,PB
1752245834,2025-07-11 11:57:14,3,170.79.214.20,cpb1-bpb1.bkb.rnp.br,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,PB,PE,
1752245834,2025-07-11 11:57:14,4,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,170.79.214.89,bpe1-cpe1.bkb.rnp.br,PB,PE,
1752245834,2025-07-11 11:57:14,5,170.79.214.89,bpe1-cpe1.bkb.rnp.br,200.133.31.237,No-Hostname,PB,PE,PE
1752245834,2025-07-11 11:57:14,6,200.133.31.237,No-Hostname,200.133.0.53,monipe-pe-atraso.rnp.br,PB,PE,PE
1752246408,2025-07-11 12:06:48,1,200.129.75.254,gateway,192.168.75.1,No-Hostname,PB,PE,PB
1752246408,2025-07-11 12:06:48,2,192.168.75.1,No-Hostname,170.79.214.20,cpb1-bpb1.bkb.rnp.br,PB,PE,PB
1752246408,2025-07-11 12:06:48,3,170.79.214.20,cpb1-bpb1.bkb.rnp.br,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,PB,PE,
1752246408,2025-07-11 12:06:48,4,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,170.79.214.89,bpe1-cpe1.bkb.rnp.br,PB,PE,
1752246408,2025-07-11 12:06:48,5,170.79.214.89,bpe1-cpe1.bkb.rnp.br,200.133.31.237,No-Hostname,PB,PE,PE
1752246408,2025-07-11 12:06:48,6,200.133.31.237,No-Hostname,200.133.0.53,monipe-pe-atraso.rnp.br,PB,PE,PE
1752246807,2025-07-11 12:13:27,1,200.129.75.254,gateway,192.168.75.1,No-Hostname,PB,PE,PB
1752246807,2025-07-11 12:13:27,2,192.168.75.1,No-Hostname,170.79.214.20,cpb1-bpb1.bkb.rnp.br,PB,PE,PB
1752246807,2025-07-11 12:13:27,3,170.79.214.20,cpb1-bpb1.bkb.rnp.br,170.79.213.8,cp1e-cpb1-chesf.bkb.rnp.br,PB,PE,
